code;name;uf;latitude;longitude
2410900;"Riachuelo";RN;-5.8179;-35.8247
4202438;"Bocaina do Sul";SC;-27.7442;-49.9444
4316204;"Rondinha";RS;-27.8313;-52.9079
3118205;"Conquista";MG;-19.9370;-47.5443
3110806;"Campanário";MG;-18.2389;-41.7298
5219357;"Santa Isabel";GO;-15.2984;-49.4249
4210605;"Massaranduba";SC;-26.6170;-49.0089
5210802;"Itajá";GO;-19.0680;-51.5449
3543402;"Ribeirão Preto";SP;-21.1767;-47.8065
4120408;"Presidente Castelo Branco";PR;-23.2794;-52.1524
4104055;"Campo Bonito";PR;-25.0335;-52.9950
2905909;"Campo Alegre de Lourdes";BA;-9.5165;-43.0105
3167509;"Simão Pereira";MG;-21.9650;-43.3137
2206001;"Marcos Parente";PI;-7.1176;-43.8924
4128708;"Vitorino";PR;-26.2679;-52.7824
3518859;"Guatapará";SP;-21.4956;-48.0393
2500304;"Alagoa Grande";PB;-7.0392;-35.6305
2402709;"Cerro Corá";RN;-6.0455;-36.3464
2508604;"Lucena";PB;-6.8989;-34.8706
2100402;"Altamira do Maranhão";MA;-4.1670;-45.4648
2709152;"Teotônio Vilela";AL;-9.9078;-36.3521
4308003;"Faxinal do Soturno";RS;-29.5810;-53.4465
5103700;"Feliz Natal";MT;-12.3887;-54.9360
3102605;"Andradas";MG;-22.0694;-46.5709
4202404;"Blumenau";SC;-26.9144;-49.0693
2312809;"Senador Sá";CE;-3.3523;-40.4639
5202601;"Aurilândia";GO;-16.6788;-50.4652
3518206;"Guararapes";SP;-21.2543;-50.6440
4112207;"Janiópolis";PR;-24.1415;-52.7814
3159308;"Santa Rita de Jacutinga";MG;-22.1489;-44.0951
4218103;"Timbé do Sul";SC;-28.8326;-49.8469
4120507;"Primeiro de Maio";PR;-22.8531;-51.0246
5006903;"Porto Murtinho";MS;-21.6979;-57.8889
2516755;"Tenório";PB;-6.9402;-36.6276
2500403;"Alagoa Nova";PB;-7.0610;-35.7633
1507706;"São Sebastião da Boa Vista";PA;-1.7184;-49.5326
5103809;"Figueirópolis D'Oeste";MT;-15.4461;-58.7375
2922052;"Mulungu do Morro";BA;-11.9673;-41.6375
2410207;"Portalegre";RN;-6.0267;-37.9873
3142809;"Monte Alegre de Minas";MG;-18.8620;-48.8652
1716109;"Paraíso do Tocantins";TO;-10.1767;-48.8811
2807501;"Tomar do Geru";SE;-11.3748;-37.8410
2304608;"General Sampaio";CE;-4.0515;-39.4506
3510005;"Cândido Mota";SP;-22.7446;-50.3895
3502606;"Aparecida d'Oeste";SP;-20.4502;-50.8809
2516607;"Tavares";PB;-7.6338;-37.8765
